Dim1,Dim2
-3.2995865,-1.714167
-7.1084723,-5.2002964
1.7122921,-4.0266294
-7.4761796,-5.486789
-7.86767,-5.3514323
-1.6696388,-1.1777003
-7.6038227,-4.846254
-5.5670304,-2.326987
-5.139065,-0.005654192
4.8506045,4.3877454
-4.670934,-1.0680455
3.0940807,-0.54427814
-8.823412,1.0889796
-9.033608,3.860012
-0.98962164,-2.1108203
-5.6720605,-1.5649965
4.6495514,5.14541
-4.995174,0.9539691
-5.4466076,-0.53528476
-4.8618627,-0.5010981
-5.9925785,-2.3637266
-8.186757,-5.582707
-9.144687,3.8185437
-8.830737,7.203669
0.4464893,-4.1814384
2.1264389,-2.837959
10.694573,4.7800117
-9.468261,1.8909701
-0.1014732,-2.4816155
-8.225304,-5.7512646
-8.176813,1.8319829
-4.17295,0.132824
-5.013563,-4.9112806
-7.165813,-5.293376
-0.57675356,2.7149167
-9.38834,-5.1490645
-0.8054551,2.6428492
-2.3640184,-0.091721505
-10.082684,3.769876
-8.788614,4.929345
5.61596,1.0032481
0.6115693,-3.239857
2.629824,-1.6318908
-3.4180067,-3.867311
4.3843513,5.0472713
-5.06247,-2.8864193
-9.211048,3.5330803
-7.1716695,-5.277081
0.8378226,0.9127368
5.6118994,1.2910601
-0.81089723,-0.75351435
-5.3696218,1.365787
4.3144307,4.2838955
4.8082557,4.8397026
-3.8926377,-3.6289954
-9.866449,3.7463858
-8.145962,-5.640639
-9.585291,3.935519
-7.0632496,-5.70495
-9.726106,4.328582
-4.9342146,-3.0784094
3.3196425,-0.65138173
-7.574165,-5.5029993
5.224643,4.309034
-8.49396,-5.4629207
-5.6369615,-0.61461943
-4.184146,-0.59022623
-8.237189,-5.248885
-6.5328355,0.8231152
4.232702,5.610076
-2.0249984,-3.8596988
3.7538178,-3.0798
-7.72935,4.4139495
-3.5523298,0.1217214
-4.994782,-2.0184042
-9.999169,4.2976036
-4.894111,-0.840006
-7.3939357,-5.1056447
-3.4029827,-1.233945
-2.2895284,-3.9664652
-7.6484847,-5.358076
-3.9750762,-0.9465082
-1.2532716,-3.3880203
3.0509913,0.15526669
-6.3999343,-0.5478894
-9.955798,3.5658467
-4.476137,-2.8818502
1.0265633,-0.38459396
3.851445,5.2682
-5.7027774,-0.121048324
-1.4726828,-1.5485469
-9.81224,4.2102966
-8.919687,5.004967
-7.0850525,-3.4445493
-5.465743,-0.69402444
0.34763736,-4.099329
-6.766712,-2.3219457
-9.271662,2.8353717
-4.5134497,-3.2885053
12.651816,4.268608
5.213525,4.516956
9.234503,-1.5232432
-8.889454,4.2674212
-8.476789,2.9088767
0.5038283,-4.342838
9.975723,2.2248595
1.5142409,0.810642
-8.896095,2.710186
-7.4505806,-2.9316235
-7.7636833,5.1266694
-8.628963,-4.1105595
-8.157231,-5.6083603
-8.221179,1.886619
-8.789001,3.9625647
-9.63474,-5.2809896
5.1309457,4.7094436
-7.6581683,-4.853583
-8.784378,4.235048
-8.179038,-5.435474
-6.885512,0.5225836
-2.4330797,-3.3509064
-7.5342383,-5.492877
3.8794458,0.9335281
-9.094594,3.9286413
-5.030962,-3.374986
-1.5833265,-2.3529837
1.7987208,-3.215185
5.0436673,2.9667547
-4.616442,-3.733039
-7.5163875,1.475719
-9.2476,4.1192956
0.9024047,1.7230531
-3.5829463,0.69954455
-9.902357,3.4346244
-7.5371647,-5.527665
10.761363,3.8429315
5.111448,3.8889422
-7.6495776,-4.39715
-8.331855,-4.6698895
-10.123184,4.185573
-10.166854,3.7653406
-4.078511,-4.238257
4.908646,4.489157
-1.7667278,2.5199068
-7.0258183,-4.751917
2.7689786,-0.25391752
-4.660872,0.4354273
4.0664773,-3.1044288
12.463856,0.95134604
-3.3733673,-4.752477
-9.367327,2.105858
-7.3974795,-4.7476163
-8.545435,5.707546
-9.362454,3.75265
1.9652405,0.51444924
-1.2603734,-2.3637784
-3.2136428,-4.5608864
-9.434651,-5.251162
1.5566312,-0.30821297
-3.2427247,0.89718294
0.6281118,0.83275133
0.29300836,-1.9802641
0.9266104,-0.13445947
0.030082535,-0.69922096
-1.6889277,-1.5123769
-4.3712764,-4.199195
-6.96097,-5.192246
-7.2337613,1.4621768
-7.8784304,-4.974666
-8.657799,6.2117295
5.3530664,3.4213398
-7.415389,-5.417984
-3.9801042,-2.1248507
-5.419408,-2.1713574
-9.464325,-5.4083734
0.16261727,-3.696758
-7.4038086,1.66621
1.5604944,0.8565941
-3.997263,-0.55189145
-8.041102,-5.447025
-3.994706,-3.737318
6.8580575,-4.2331133
-7.301341,-5.111354
3.897758,6.3534217
-3.7753565,-2.9916105
-8.217282,-5.7778172
-9.280679,-4.957377
6.8376837,-4.3691354
6.430761,-2.5244427
-8.834487,7.2245393
-7.1743636,-5.28467
-9.444577,3.0586088
-2.8123105,2.079896
-2.2547126,0.6861736
-1.0343422,-3.2710707
-6.7959323,-2.0773716
-8.362513,-5.841184
6.491538,-4.0664954
-6.9284644,-5.2144156
4.4930058,5.3806906
-8.836652,4.626518
-1.7899926,-4.2223587
8.987529,-1.1933178
-6.9083295,-3.4192433
-2.0015283,-3.0949912
-1.3103665,-3.0801933
2.9399657,-1.4258345
5.8265595,-2.077303
2.6902907,1.0957001
-8.670216,-5.5055757
-9.87478,2.7148623
4.4920735,4.7674904
-7.179382,-2.5957594
-7.742605,2.1225543
-7.303479,-5.0168858
-8.436763,-5.7750773
0.059168745,-2.7104537
2.039832,-0.19832937
1.3617839,-2.152049
11.314399,1.9149425
-8.13745,-5.0268664
2.661886,2.1848388
-0.82333946,-3.3525705
-3.3925586,-0.00026444357
-3.9935107,0.17988354
10.294451,3.1527672
-8.635226,3.7810867
-6.072802,-0.9807079
-1.5676281,2.710664
-2.9078872,-3.0559351
9.050221,-1.1466517
-8.83733,7.2226567
-0.45293823,-3.057527
5.6042514,1.3336127
5.680469,1.1942472
5.260466,0.277293
5.1730943,4.6436887
-1.8818886,-4.06502
-6.9761257,-5.7166395
3.7066994,2.9193854
5.23564,3.797147
-8.523638,5.302283
1.1895231,-3.0382657
-9.310993,2.1121283
-6.964253,-2.763795
-3.6349158,0.57487464
11.410049,3.6934075
5.218559,4.7334733
-6.5690207,-3.9796119
-7.4834085,1.7845719
-4.170608,0.647259
-7.915449,-5.3142037
-4.8069954,-1.4123532
-9.99727,3.5877573
9.328106,-1.6695764
-1.2261033,2.888855
-4.366387,-1.017627
-8.146636,-5.372298
-7.0455456,-4.600762
-5.781933,-0.5668716
-7.00477,-5.2062645
-0.018308947,-3.3848846
-8.42433,-4.4064207
1.0359061,0.8930425
-9.337725,-4.171804
-9.577312,-5.344746
-3.687947,-3.9122536
1.1570967,1.0884287
4.504317,4.9082556
1.8101983,-2.8761437
2.3975735,-0.57695353
-9.781263,2.8180013
-10.0408535,3.4263613
-6.894843,-2.5935507
4.278499,5.822912
7.2459054,2.8123004
2.294254,-2.4651914
-0.060280185,0.77911127
-5.6724744,-3.862038
-7.4561424,1.3652233
12.04715,1.3912337
8.176307,2.8460407
5.243042,4.8407483
4.949972,3.8531702
6.6162286,4.953013
5.116455,0.6696671
-9.481848,3.8676333
-8.243525,-5.5136027
4.083729,5.8764677
-5.463862,0.9817636
-8.205256,-5.494117
11.292527,1.9644419
-7.9693227,1.8592405
-5.6419635,-1.9984634
-7.1444645,-5.0928273
-5.082572,-1.4754803
-9.352982,4.2657385
7.6193852,-4.626847
8.050231,-1.688945
3.3192441,0.8358623
-3.766728,-3.4323816
11.738968,1.5805409
4.017967,6.0671844
3.8945959,-1.6234498
11.84103,1.3972403
1.5910233,0.7967401
-9.236275,3.18382
-7.783853,-3.6343381
0.55936205,0.26580808
4.2451024,-3.1142702
-3.548067,-3.3504086
-4.161995,-3.4088755
-4.9229403,-3.7542555
-9.552143,4.390425
-8.487617,-3.695282
-3.6983173,-1.2738504
4.4204435,-3.0748587
-6.960399,-5.2029867
0.66750234,-3.678846
3.3692982,-3.0895174
-6.8813624,0.4109012
-8.339482,-5.4561725
-9.864662,3.74106
-2.8486137,-0.4319842
-2.2342904,-0.34257686
-10.003904,3.6119466
-8.281508,-5.2299614
-5.230539,-1.0804775
-0.4565066,-2.794469
-1.0511436,-1.4658453
-5.5810013,0.08682722
-0.97269994,-0.45540726
-7.3691406,-4.6378784
-1.9913796,-0.5351315
-4.0463185,-4.3625326
-3.4571972,-4.7661524
-7.468334,-5.2961845
-4.0777154,-0.16145544
-0.9128147,-2.6667445
-9.168045,3.6499124
-1.9725051,0.14377895
-3.4829984,-2.3969195
4.738578,-2.6201398
6.9141507,-2.511319
-7.7703843,4.4190536
-8.750114,-4.732446
-7.9464893,-3.567557
-7.913883,1.6387078
5.7248764,-2.2375908
-7.1827254,-1.6910288
-9.857127,4.219718
-5.831827,-1.7751116
3.520307,3.084609
-4.8249917,0.011602739
-1.1402352,-2.9625776
-8.185077,3.7140162
0.51666343,1.4491104
-7.2284904,-4.305619
9.076479,-2.9587603
6.4716797,1.2642463
-8.28443,-5.4031377
-8.066219,2.30019
-8.362757,2.8263967
-7.17442,-1.816441
5.682206,1.0938584
4.1449428,3.622618
5.2117796,0.26864195
-3.7862463,-2.5230916
-2.6009433,-2.864635
-7.634162,-5.0969768
-8.114991,2.0343204
-7.9933643,1.8659385
-6.559839,-5.351206
1.9981377,-4.0899615
-8.73902,-3.6293695
5.1723175,0.8698617
-5.3726487,-1.878238
-6.4507294,-5.1658683
-10.012355,2.7723067
-0.87268794,-2.3230994
-4.9045973,-2.697074
-0.21831171,1.7174065
-8.600877,1.4230556
-6.994234,-0.4284931
0.84794545,1.3172196
-3.8034167,-3.222233
-0.73331344,-3.7002985
-0.47289768,-1.087292
-0.9796137,-3.4583435
-4.1413264,-2.359864
-4.7684574,-4.019096
11.0015135,1.6018475
3.992925,5.307039
5.1846237,1.2121593
-4.6070414,-4.191959
-7.1087275,-5.183678
-9.410981,4.097427
-8.959919,-4.474488
-1.3955213,-4.1545205
-0.5450037,-1.0999132
-1.7820039,-4.242352
9.325711,-2.1155531
-4.0791717,-4.7674456
9.904765,1.9780546
-3.8543708,-0.41727197
-8.419377,-5.6398497
-4.3151445,-4.2645235
-8.600178,6.0074
5.5983505,3.1335676
-5.859087,-4.0214257
-4.2241883,-2.5631983
4.668308,-1.4072356
-6.430878,-3.6873827
-0.4794213,-3.0737891
