Dim1,Dim2
11.007743,4.5988936
-5.177988,-4.637209
12.200166,5.2769127
5.230725,1.1358972
12.258615,0.93530947
13.491943,4.5597615
6.351055,-3.1966045
10.7642765,7.4378057
-0.20175168,3.0023685
11.955283,4.6076994
-3.1424317,-3.4703252
4.5972424,5.3646555
-4.2298703,-2.8286343
10.5072,6.879905
1.7710773,-0.037745368
3.0526102,0.37007436
-7.3986754,-4.7571626
-4.5561433,-2.1755214
-8.914725,3.7843482
10.319301,6.531679
12.524887,5.194056
-3.4128785,0.014243918
-7.4712515,-2.188521
5.708805,-3.4436705
12.162995,1.0661371
-9.331652,2.0413651
8.718193,-1.3984928
-5.017792,-1.5951785
11.378722,1.5762075
-0.54254323,2.6788135
-1.3299128,-3.571592
10.226624,6.0250435
11.54344,2.3485396
-8.0347,-5.410961
-2.960318,-1.7103541
-0.62491393,-1.1701683
-0.34776476,-4.57449
9.896634,5.3867006
8.980046,1.9223759
-9.491087,3.0714734
-9.281495,4.1521053
-9.1310215,4.120904
-9.450783,4.075288
-8.590378,1.5244652
4.5503564,2.3634863
4.085632,1.3024607
-9.542119,4.135564
-9.66608,3.943833
3.9416723,3.5673609
-1.3450752,-2.3320777
-8.141636,-4.295883
-3.2968743,0.2771375
-7.943553,-5.3637614
-10.314665,4.1249995
-7.670636,2.0213797
-9.810368,3.6956244
-9.954516,4.6410947
1.2064703,0.26109007
-9.017254,2.8944123
0.8984091,0.5600431
-0.46425542,-4.8331337
11.780632,2.1273642
-9.237312,3.878467
10.283128,6.578265
3.2080324,5.935368
10.233886,6.3795485
7.634595,3.827165
-6.6889944,0.9443744
-9.402113,1.9878029
6.037774,0.9594483
1.7483404,-3.0953133
-5.814207,-0.73464453
-7.1036363,0.73525625
-5.215442,-2.1242874
-6.7598553,0.6661215
-2.3821337,1.1479396
-7.495515,-3.7264938
5.834622,0.07058139
10.67051,7.2983866
-7.379955,-5.2289796
-1.1303115,-4.077964
3.3602238,-2.9343684
3.4657047,-2.8995707
2.9429297,-3.1363018
6.032408,-3.2052035
-9.361739,3.8472357
-9.666951,4.540966
1.0667269,2.632376
1.5973039,2.6865146
9.194483,4.3050666
0.6531651,1.8126163
-0.72634923,0.123878635
4.837004,0.11717511
-8.849186,3.7771466
-8.885619,3.5599613
-4.147565,-0.078857586
10.598299,3.7034385
2.7218409,6.3081717
1.4667534,0.3560318
-7.9812064,1.8086513
-1.4708573,-1.5406849
-3.5505736,-0.49598432
7.4403963,-2.6547668
5.878126,0.44392878
10.327429,6.703073
3.9406893,4.5745645
-5.1206436,-3.490543
4.978486,1.160742
-4.982934,-2.8674607
-4.4053288,-4.029343
-4.1093116,-4.249223
-1.2466443,-4.8042736
-5.8375363,0.78387284
-6.0419383,0.6388577
-3.844485,-3.3588307
-6.201018,-5.4799924
1.8644274,-2.9648364
7.4723773,4.4652853
6.4163175,-3.0938525
-2.374835,-1.4522164
-1.1412065,-2.16217
-1.6122885,-1.4062946
-2.1406999,-5.3574305
3.1349964,-1.6974485
12.436924,4.4898844
12.069507,1.8846251
11.685212,1.4219518
3.6582716,-0.68796027
12.140978,4.570398
10.808308,7.566823
12.452282,5.1051936
11.6670685,1.5406421
12.146998,5.0608478
3.4728007,4.15289
3.1105258,0.58275104
9.957863,5.562659
9.205605,-1.5643306
10.189811,6.1759925
-6.5058665,-1.8503366
10.56068,7.015157
-4.0470715,-1.521596
7.893349,-1.0041825
7.573429,-4.583874
-7.1640506,-1.1865857
-5.515562,2.1561434
2.0328794,0.7750468
0.25985357,0.5136444
4.6540685,-0.22627188
0.0123484535,1.7369508
3.0746756,6.0946617
10.702584,7.3568645
4.909476,0.1974729
10.060459,6.3268023
-2.428618,-0.72147894
-2.160107,-3.1299944
-6.7464013,-5.5115266
-4.2356925,-4.5165157
-6.769605,-1.078477
-7.358972,3.618433
-7.5222807,3.5626357
0.39460826,1.3238041
-6.3333526,-0.3774587
-6.6691895,0.48262295
-9.055999,4.1475673
-4.7937164,-4.0123425
3.7809267,4.2018948
-6.8238277,-0.14336687
4.6865377,-0.7885011
4.793594,-0.9459665
-1.4502345,-1.345772
-0.4774955,3.357854
-2.1824174,-3.5561383
-2.0049589,-3.7831178
12.635099,5.0146194
0.5100929,-2.0460768
-0.15202257,2.4858708
2.8819692,5.5618777
-1.0474,2.4429266
-6.4687757,-1.1098086
-0.5483016,2.4474742
-0.96548575,-2.1216476
5.9276943,-2.5994906
9.399167,2.535396
7.8403387,3.9836617
10.143636,6.094887
8.6759405,-2.0881338
8.6219425,4.7360706
-6.0197124,-0.9362678
-9.659361,4.8644133
-8.980749,4.5569897
-9.805351,5.020481
-9.314872,4.6513863
-8.543699,3.9444673
-10.008717,3.7571929
-8.710086,4.361022
4.717298,2.9239175
4.8026924,2.615634
-8.475628,3.7835848
-0.39528748,-0.87849766
0.6661602,-2.115868
2.0638027,1.7742075
-5.4969416,-2.2732816
4.6326466,2.641499
3.4573917,-0.4975769
-5.777832,0.37098646
3.8379505,0.04562785
-6.363903,-3.6105084
-5.379583,-1.9885322
-2.9958894,-4.4788065
-1.7090191,-2.6188152
